experiment_number,orx_id,parent_id,hypothesis,code_changes,optuna_study,trials,seeds,metrics,verdict,next_action
0,019fec2a-3c90-74f8-a1c6-fddf122b3d4c,,"Historical pre-balanced Stage 0 fixed control and baseline turnover reference","d5cf46b; cash/BTC/ETH/50-50 buy-and-hold plus SMA, volatility-scaled, and 12-1 rules",none,0,"11|22|33|44|55","PRE-BALANCED LOCAL EVIDENCE: 50/50 score 0.1115835; BTC 0.1275554; ETH 0.1196255; cash -0.1200000; baseline_turnover 0.9990010; 24 windows; historical test score 0.0583756","historical/pre-balanced; later historical root answered locally; not fair-comparable and not used for promotion","Superseded; use balanced control row 9 and fair rows 10-19"
1,019fec2f-a592-70ab-9915-1612dbfb4bbf,019fec2a-3c90-74f8-a1c6-fddf122b3d4c,"Historical pre-balanced Ridge with lagged price, volatility, range, and volume features only; feature ablation supported by arXiv:2606.00060 and arXiv:2606.09478","9dae8cd; config use_onchain=false; fixed threshold 0.0; session purge; same bash measure.sh contract",ridge_validation,8,"11|22|33|44|55","PRE-BALANCED LOCAL SMOKE: score -1.1859575; validation -0.6547601; test -1.0324355; turnover 12.4341234; alpha 89.1665528; fixed-protocol recomputation passed; no fair result","historical/pre-balanced; no scientific verdict for fair tree; not used for promotion","Superseded by fair Technical Ridge row 10; do not relaunch old split"
2,019fec2f-aa59-7ead-be05-a8b7b6dc81c0,019fec2a-3c90-74f8-a1c6-fddf122b3d4c,"Historical pre-balanced Ridge with strictly lagged Coin Metrics on-chain z-scores; regime-aware evidence supported testing state variables","13ddaf3; config use_onchain=true; fixed threshold 0.0; session purge; same bash measure.sh contract",ridge_validation,8,"11|22|33|44|55","PRE-BALANCED LOCAL SMOKE: score -1.0763066; validation -0.6487563; test -0.5311196; turnover 11.4842383; alpha 89.1665528; fixed-protocol recomputation passed; no fair result","historical/pre-balanced; no scientific verdict for fair tree; not used for promotion","Superseded by fair Ridge plus on-chain row 11; do not relaunch old split"
3,not_created,,"Historical/pre-balanced Stage 2 recursive AR horizon screening; literature supports strict double out-of-sample evaluation but forecast-to-trade alpha remains uncertain","Existing walk_forward_ar; no branch or orx node created under old contract",none,0,"11|22|33|44|55","PRE-BALANCED LOCAL SCREEN: horizon 1 score -2.6286336; horizon 5 -1.7015701; horizon 21 -0.7378930; all below historical baseline 0.1115835","historical/pre-balanced screening; rejected; not fair-comparable and not an orx result","Superseded by fair ARIMA and ETS rows 14-15; no stacked child"
4,3b0fb31c-6fed-4c8d-9b26-0160fa56e4d3,,"Historical local OpenResearch fixed control; not fair-comparable to balanced contract","aa85267; mode buy_hold_50_50; fixed bash measure.sh contract",none,0,"11|22|33|44|55","Historical run 35c0d312-e63a-44c6-a672-a9f21268b29e: full 0.1113547; not used for fair promotion","answered and frozen; historical only","Use balanced contract anchor"
5,d717b334-1577-46d1-ae40-acd4d65456da,3b0fb31c-6fed-4c8d-9b26-0160fa56e4d3,"Historical technical-only Ridge; not fair-comparable","b538f66; use_onchain=false",ridge_validation,8,"11|22|33|44|55","Historical run 2cd860f7-e2b6-4b8d-82e8-872aa47a7fc7: full -1.1859575; not used for fair promotion","answered and frozen; historical only","Rerun under balanced contract"
6,b0b6a0e1-f859-4ce9-a0cb-5a05ad492956,3b0fb31c-6fed-4c8d-9b26-0160fa56e4d3,"Historical lagged on-chain Ridge; not fair-comparable","8092be8; use_onchain=true",ridge_validation,8,"11|22|33|44|55","Historical run bede066d-683c-4f9b-a3a4-40d0966a4675: full -1.0763066; not used for fair promotion","answered and frozen; historical only","Rerun under balanced contract"
7,4f43dbdd-79ef-4c74-9a46-7bae616b0c7a,3b0fb31c-6fed-4c8d-9b26-0160fa56e4d3,"Historical ARIMA; not fair-comparable","c725563; causal ARIMA adapter",arima_validation,8,"11|22|33|44|55","Historical run e3af2a2a-f8dc-4ebf-a461-84eb85c64c53: full -0.8241698; not used for fair promotion","answered and frozen; historical only","Rerun under balanced contract"
8,dd1d9581-2f47-4339-9feb-a446907499e0,3b0fb31c-6fed-4c8d-9b26-0160fa56e4d3,"Historical ETS; not fair-comparable","05ca15a; causal ETS adapter",ets_validation,8,"11|22|33|44|55","Historical run 6bacf5cd-ec09-42d9-8398-285001038901: full -1.1998268; not used for fair promotion","answered and frozen; historical only","Rerun under balanced contract"
9,b405429f-01aa-4f18-9492-005bb3ab17b4,ec6bed56-2490-4113-b2fb-981e9bbe06a5,"Balanced chronological temporal contract and frozen control","572a211; train 2018-01-01..2022-12-31; validation 2023-01-01..2024-12-31; test 2025-01-01..2026-08-10",none,0,"11|22|33|44|55","Run 9ec6329e-3c8b-409f-95f1-f0ebe9794e16: full 0.1115835; validation 0.5314679; frozen test -0.2189362; 5/4 validation/test windows; pinned snapshot","answered and frozen; fair control anchor","Run fair sibling bush; no model promotion from anchor"
10,a903c343-b32b-47ff-a19e-1b4050d7f793,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair technical-only Ridge","ceb9f33; use_onchain=false",ridge_validation,8,"11|22|33|44|55","Run 5b151771-3dae-4439-9dac-428a44ede82f: validation -0.7239327; frozen test -0.9475211; turnover 5.3080; alpha 89.1666","answered and frozen; reject; no promotion","Retain balanced control"
11,c2c974b4-abe1-4953-8efb-feaa477cdb18,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair Ridge plus lagged on-chain","3078fba; use_onchain=true",ridge_validation,8,"11|22|33|44|55","Run 8cb61076-5cac-4538-a91e-cc4a1f5e880f: validation -0.1714904; frozen test -0.6419978; turnover 3.9480; alpha 44.3466","answered and frozen; reject; no promotion","Retain balanced control"
12,a8eee72f-942d-4ce9-8461-443638d01197,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair causal ARIMA order search","05bb40e; causal ARIMA; order 1-3 validation search",arima_validation,8,"11|22|33|44|55","Run 9eb8a8de-5258-4b08-a082-2a890961f6f9: validation 0.5506139; frozen test -0.7781348; turnover 4.7139; selected order 2","answered and frozen; validation overfit; reject","Retain balanced control"
13,61b47e35-bc71-4d8c-b793-38bbfd654387,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair causal ETS smoothing","990021b; causal ETS; alpha search validation-only",ets_validation,8,"11|22|33|44|55","Run 405a267c-7509-452e-9bdb-22b18a180bab: validation 1.0205072; frozen test -0.1819630; turnover 0.8950; selected alpha 0.5053","answered and frozen; closest but negative test return and no robust promotion","Retain balanced control"
14,ac10fa19-d0e3-4376-bd36-97431b5368f6,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair lagged cross-asset features","a6ba973; one-session-lagged peer returns and volume",ridge_validation,8,"11|22|33|44|55","Run c27c2db6-c8bb-43b8-bd80-7361f43ef68f: validation -0.9148506; frozen test -1.2068932; turnover 7.4232; alpha 80.6384","answered and frozen; reject; no promotion","Retain balanced control"
15,4a0eb7f8-bb3c-4542-ad31-71a9cbd9e3af,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair pooled cross-asset Ridge","eaa3651; pooled causal Ridge with asset code",pooled_ridge_validation,8,"11|22|33|44|55","Run bf7df15e-9f45-431f-a6a7-2029f20bccf4: validation -0.6372513; frozen test -0.9904385; turnover 5.1874; alpha 0.0754","answered and frozen; reject; no promotion","Retain balanced control"
16,f92e75e0-a0f8-483c-9981-f7526afc7ac6,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair EMA-smoothed Ridge signals","363e381; causal prediction EMA; span search validation-only",ridge_validation,8,"11|22|33|44|55","Run f79e767b-13c8-40b3-9eb8-943aac42e3fc: validation 0.1572936; frozen test -0.4812781; turnover 1.9593; alpha 1.7100; span 17","answered and frozen; reject; no promotion","Retain balanced control"
17,335af757-cb6d-429a-a0d5-be9df4b2ee40,b405429f-01aa-4f18-9492-005bb3ab17b4,"Fair top-1 Ridge allocation","990d1b2; top-one portfolio mapping",top_one_ridge_validation,8,"11|22|33|44|55","Run 505056ac-5b31-4ed2-8c38-29add2e4cf99: validation -0.4045567; frozen test -0.7593821; turnover 4.3029; alpha 89.1666","answered and frozen; reject; no promotion","Retain balanced control"
